Time,Data,FinalFit
1,707,757.1638671875
2,789.75,757.1638671875
3,711.75,757.1638671875
4,587.75,757.1638671875
5,673.5,757.1638671875
6,598.25,757.1638671875
7,671,757.1638671875
8,806,757.1638671875
9,715,757.1638671875
10,602.75,757.1638671875
11,692.25,757.1638671875
12,681,757.1638671875
13,668,757.1638671875
14,682.25,757.1638671875
15,982,757.1638671875
16,773.5,757.1638671875
17,866.25,757.1638671875
18,716.25,757.1638671875
19,625.75,757.1638671875
20,719.75,757.1638671875
21,726.75,757.1638671875
22,650.5,757.1638671875
23,741.75,757.1638671875
24,857.75,757.1638671875
25,695.75,757.1638671875
26,677.5,757.1638671875
27,609,757.1638671875
28,717,757.1638671875
29,639.5,757.1638671875
30,673.25,757.1638671875
31,632.25,757.1638671875
32,861,757.1638671875
33,774.5,757.1638671875
34,642.5,757.1638671875
35,650.5,757.1638671875
36,679,757.1638671875
37,732.25,757.1638671875
38,898.5,757.1638671875
39,875.75,757.1638671875
40,738.75,757.1638671875
41,793,757.1638671875
42,801.75,757.1638671875
43,675.25,757.1638671875
44,531.25,757.1638671875
45,694.75,757.1638671875
46,723.75,757.1638671875
47,634.5,757.1638671875
48,591.75,757.1638671875
49,660.25,757.1638671875
50,787.75,757.1638671875
51,693.25,757.1638671875
52,672.5,757.1638671875
53,751,757.1638671875
54,719.5,757.1638671875
55,774,757.1638671875
56,604.75,757.1638671875
57,687.25,757.1638671875
58,849.25,757.1638671875
59,831.5,757.1638671875
60,698,757.1638671875
61,805.75,757.1638671875
62,820.5,757.1638671875
63,725.75,757.1638671875
64,686,757.1638671875
65,546.25,757.1638671875
66,823.25,757.1638671875
67,866.5,757.1638671875
68,748,757.1638671875
69,763.75,757.1638671875
70,652.25,757.1638671875
71,610.75,757.1638671875
72,663,757.1638671875
73,720.25,757.1638671875
74,696.75,757.1638671875
75,782,757.1638671875
76,668.75,757.1638671875
77,756.25,757.1638671875
78,602,757.1638671875
79,648,757.1638671875
80,811,757.1638671875
81,772.75,757.1638671875
82,707.75,757.1638671875
83,803.75,757.1638671875
84,731,757.1638671875
85,779.75,757.1638671875
86,810.75,757.1638671875
87,855.75,757.1638671875
88,879.25,757.1638671875
89,719.5,757.1638671875
90,565,757.1638671875
91,702,757.1638671875
92,657.25,757.1638671875
93,631.75,757.1638671875
94,629.25,757.1638671875
95,715.5,757.1638671875
96,689,757.1638671875
97,720,757.1638671875
98,811.5,757.1638671875
99,580.75,757.1638671875
100,608.5,757.1638671875
101,647.75,757.1638671875
102,744.5,757.1638671875
103,884.5,757.1638671875
104,688.25,757.1638671875
105,719.75,757.1638671875
106,622.5,757.1638671875
107,708.75,757.1638671875
108,752,757.1638671875
109,798,757.1638671875
110,776,757.1638671875
111,781.25,757.1638671875
112,700.75,757.1638671875
113,699.25,757.1638671875
114,739.25,757.1638671875
115,664.25,757.1638671875
116,793,757.1638671875
117,727.5,757.1638671875
118,790,757.1638671875
119,611.75,757.1638671875
120,654.25,757.1638671875
121,650.5,757.1638671875
122,604.25,757.1638671875
123,646,757.1638671875
124,708.25,757.1638671875
125,902.75,757.1638671875
126,750.5,757.1638671875
127,778.75,757.1638671875
128,843,757.1638671875
129,651.5,757.1638671875
130,679.25,757.1638671875
131,658,757.1638671875
132,575.75,757.1638671875
133,694.25,757.1638671875
134,839.75,757.1638671875
135,749,757.1638671875
136,709.5,757.1638671875
137,690.5,757.1638671875
138,686.5,757.1638671875
139,709.5,757.1638671875
140,665.5,757.1638671875
